question,type,choix,reponse,explication,lecon,lien_lecon,description
"Trois ouvriers posent 120 m² de carrelage en 5 jours. Au même rythme, combien cinq ouvriers poseraient-ils en 8 jours ?",choix,"320 m² | 200 m² | 192 m² | 240 m²",320 m²,"Le rythme unitaire vaut 120 / (3 × 5) = 8 m² par ouvrier et par jour. Donc 8 × 5 × 8 = 320 m². Les valeurs 200 et 192 viennent d'une seule des deux proportionnalités, appliquée isolément.",,,Double proportionnalité
"Un article est affiché 240 € TTC, avec une TVA de 20 %. Quel est son prix hors taxes ?",choix,"200 € | 192 € | 288 € | 220 €",200 €,"Le prix TTC vaut le prix HT multiplié par 1,20, donc HT = 240 / 1,20 = 200 €. Retirer 20 % du TTC donnerait 192 € : c'est l'erreur de base, car les 20 % se calculent sur le HT, pas sur le TTC.",,,Le sens du calcul compte
"Un budget mensuel de 2 400 € consacre 35 % au loyer. Combien cela fait-il de loyer sur une année ?",choix,"10 080 € | 840 € | 8 400 € | 28 800 €",10 080 €,"2 400 × 0,35 = 840 € par mois, puis 840 × 12 = 10 080 € par an. La réponse 840 € oublie l'année, et 28 800 € est le budget annuel total, pas le loyer.",,,
"Un magasin vend 3 savons pour 5 €, un autre 5 savons pour 8 €. Lequel est le moins cher à l'unité ?",choix,"Le premier magasin | Le second magasin | Les deux au même prix | Impossible à comparer",Le second magasin,"5 / 3 ≈ 1,67 € l'unité contre 8 / 5 = 1,60 €. Pour comparer deux offres, il faut les ramener à une base commune : ici, le prix d'un seul savon.",,,
"Une ville de 25 000 habitants croît de 2 % par an. Combien d'habitants après deux ans ?",nombre,,26010,"25 000 × 1,02 × 1,02 = 25 000 × 1,0404 = 26 010. Ajouter deux fois 2 % du chiffre initial donnerait 26 000 : c'est oublier que la seconde hausse porte sur la population déjà augmentée.",,,Arrondir à l'unité
"Une équipe de 5 personnes travaille 8 heures par jour, 20 jours par mois. Combien d'heures de travail cela représente-t-il par mois ?",nombre,,800,"5 × 8 × 20 = 800 heures. C'est l'ordre de grandeur qui compte ici : une équipe de cinq personnes, c'est environ un millier d'heures par mois, donc environ dix mille heures par an.",,,Ordre de grandeur
"Un cœur bat environ 70 fois par minute. Combien de battements cela fait-il en une journée ?",choix,"Environ 10 000 | Environ 100 000 | Environ 1 million | Environ 10 millions",Environ 100 000,"70 × 60 = 4 200 par heure, puis 4 200 × 24 ≈ 100 800. On raisonne en puissances de dix : 70 × 60 vaut environ 4 × 10^3, multiplié par 24 on reste sous 10^5.",,,Ordre de grandeur
"Le nombre d'abonnés passe de 400 à 500, puis de 500 à 600. Que dire de ces deux hausses ?",choix,"Elles sont identiques en pourcentage | La seconde est plus forte en pourcentage | La première est plus forte en pourcentage | On ne peut pas les comparer",La première est plus forte en pourcentage,"Les deux hausses valent 100 abonnés, mais 100 / 400 = 25 % et 100 / 500 = 20 %. À gain absolu constant, le taux de croissance diminue à mesure que la base grandit.",,,
"Un service facture 8 € par client et supporte 3 € de coût variable par client, plus 2 000 € de charges fixes par mois. Combien de clients faut-il par mois pour équilibrer ?",nombre,,400,"Chaque client rapporte 8 − 3 = 5 € une fois son coût couvert. Il faut donc 2 000 / 5 = 400 clients pour absorber les charges fixes. Diviser 2 000 par 8 donnerait 250 et oublierait le coût variable.",,,Seuil de rentabilité
"Sur une facture de 1 260 € TTC, la TVA à 20 % représente quel montant, en euros ?",nombre,,210,"Le HT vaut 1 260 / 1,20 = 1 050 €, donc la TVA vaut 1 260 − 1 050 = 210 €. Autrement dit, la TVA représente 1/6 du TTC quand le taux est de 20 %, et non 20 % du TTC.",,,Vérifier sa base
